x,y
2861.0362,2554.4127
2876.5915,2496.4348
2890.5102,2438.1527
2898.559,2378.8822
2897.3654,2318.9823
2910.1912,2261.1851
2935.344,2206.9357
2974.2705,2159.505
2991.2351,2112.4859
3004.4813,2064.2896
3017.0505,2015.8963
3028.3346,1967.2038
3037.6866,1918.1092
3043.5691,1878.5299
3031.351,1830.3212
3016.3914,1782.6056
3003.6986,1734.2653
2994.5017,1685.13
2999.1105,1635.5003
3004.7831,1585.7917
2975.7923,1584.2923
2956.3121,1588.833
2936.832,1593.3736
2917.3522,1597.8831
2897.8642,1602.4236
2878.384,1606.9643
2858.9043,1611.4737
2839.4241,1616.0143
2819.9439,1620.555
2800.4642,1625.0644
2780.984,1629.605
2761.496,1634.1455
2745.9124,1637.7406
2730.3283,1641.3668
2704.5721,1644.9133
2709.1025,1664.5731
2713.6406,1684.2329
2718.1787,1703.8928
2722.7168,1723.5527
2727.2554,1743.1813
2731.7935,1762.8411
2736.3317,1782.501
2716.8515,1787.0416
2697.3713,1791.5823
2677.8989,1796.123
2658.4187,1800.6637
2638.9385,1805.2043
2619.4657,1809.7763
2599.9855,1814.3169
2580.5053,1818.8576
2561.0329,1823.3983
2541.5527,1827.9389
2522.0725,1832.4796
2502.5923,1837.0202
2483.1199,1841.5609
2463.6397,1846.1016
2444.1595,1850.6422
2424.6871,1855.1829
2405.207,1859.7235
2385.7263,1864.2954
2366.2539,1868.8361
2346.7737,1873.3767
2327.2935,1877.9174
2307.8133,1882.458
2288.3409,1886.9987
2268.8607,1891.5393
2249.3805,1896.0799
2229.9082,1900.6206
2210.428,1905.1612
2190.9478,1909.7018
2171.4754,1914.2426
2151.9947,1918.8144
2132.5145,1923.355
2113.0343,1927.8956
2093.5619,1932.4363
2074.0817,1936.9769
2054.6015,1941.5175
2035.1291,1946.0582
2015.6489,1950.5988
1996.1687,1955.1394
1976.6963,1959.6801
1957.2161,1964.2207
1937.7355,1968.7925
1918.2553,1973.3331
1898.7829,1977.8738
1879.3027,1982.4144
1859.8225,1986.955
1840.3501,1991.4957
1820.8699,1996.0362
1801.3897,2000.5768
1782.3111,1999.3097
1763.7244,1991.9237
1745.1378,1984.5377
1726.5515,1977.1204
1707.9649,1969.7344
1689.386,1962.3484
1670.7994,1954.9624
1652.2127,1947.5764
1633.6265,1940.1591
1615.0476,1932.7732
1596.461,1925.3871
1577.8743,1918.0011
1559.2877,1910.6151
1540.7088,1903.2291
1522.1226,1895.8119
1503.536,1888.4258
1488.1683,1877.1468
1477.4975,1860.214
1466.8341,1843.3125
1456.1634,1826.3797
1445.4922,1809.4782
1434.8214,1792.5454
1424.1502,1775.6438
1413.4873,1758.7111
1402.8161,1741.8095
1392.1453,1724.8767
1381.4741,1707.9752
1370.8112,1691.0425
1360.14,1674.1409
1349.4692,1657.2081
1338.798,1640.3066
1328.1273,1623.3738
1317.4639,1606.4724
1306.7932,1589.5396
1296.122,1572.638
1285.4512,1555.7052
1274.78,1538.8037
1264.1171,1521.871
1253.4459,1504.9694
1242.7752,1488.0367
1232.104,1471.1351
1221.4333,1454.2023
1210.7699,1437.3009
1200.0992,1420.3681
1189.428,1403.4666
1178.7572,1386.5338
1168.0939,1369.6324
1157.4232,1352.6996
1146.752,1335.798
1136.0812,1318.8653
1125.4101,1301.9637
1114.7472,1285.0311
1104.076,1268.1295
1093.4053,1251.1967
1082.7341,1234.2952
1072.0634,1217.3624
1061.4,1200.461
1050.7293,1183.5282
1040.0581,1166.6267
1029.3874,1149.6939
1018.7241,1132.7925
1008.0534,1115.8598
997.3822,1098.9582
986.7115,1082.0255
976.0408,1065.0927
965.3774,1048.1913
954.7067,1031.2585
944.0356,1014.357
933.3648,997.4243
922.6937,980.5227
912.0308,963.5901
901.3597,946.6886
890.6889,929.7558
880.0178,912.8543
869.3549,895.9217
858.6838,879.0201
848.0131,862.0874
837.3419,845.1859
826.6712,828.2531
816.0079,811.3517
805.3372,794.419
794.6661,777.5175
783.9954,760.5847
774.5935,745.67
787.4424,737.5987
800.2997,729.4963
813.1569,721.3939
826.0063,713.2914
838.8631,705.2203
851.7203,697.1179
864.5775,689.0155
877.4269,680.913
890.2841,672.8106
903.1409,664.7395
915.9903,656.637
928.8475,648.5346
941.7048,640.4322
954.5615,632.361
967.4109,624.2585
980.2682,616.1561
993.1254,608.0537
1005.9748,599.9512
1018.8315,591.88
1031.6888,583.7776
1044.5382,575.6751
1057.3954,567.5727
1070.2521,559.5016
1079.4787,574.1013
1090.1495,591.034
1100.8284,607.9356
1111.4996,624.8371
1122.1703,641.7698
1132.8493,658.6714
1143.52,675.6042
1154.1911,692.5057
1164.8697,709.4385
1175.5408,726.34
1186.212,743.2415
1196.8905,760.1744
1207.5617,777.0758
1218.2324,794.0086
1228.9114,810.9102
1239.5826,827.8117
1250.2533,844.7444
1260.9323,861.6461
1271.603,878.5788
1282.2742,895.4803
1292.9532,912.3819
1303.6239,929.3147
1314.2951,946.2162
1324.9736,963.149
1335.6448,980.0505
1346.3155,996.9833
1356.9945,1013.8849
1367.6657,1030.7864
1378.3364,1047.7192
1389.0154,1064.6208
1399.6862,1081.5536
1410.3574,1098.4551
1421.0363,1115.3567
1431.7071,1132.2894
1442.3783,1149.191
1453.0568,1166.1238
1463.728,1183.0254
1474.3988,1199.9581
1485.0778,1216.8597
1495.749,1233.7613
1506.4197,1250.694
1517.0987,1267.5957
1527.7695,1284.5284
1538.4407,1301.43
1549.1197,1318.3316
1559.7905,1335.2644
1570.4695,1352.166
1581.1402,1369.0988
1591.8114,1386.0003
1602.4904,1402.9019
1613.1612,1419.8347
1623.8324,1436.7363
1634.511,1453.6691
1645.1822,1470.5707
1663.2197,1478.6679
1681.855,1485.9295
1700.4898,1493.2224
1719.1173,1500.484
1737.7525,1507.7457
1756.3878,1515.0074
1775.0226,1522.3003
1794.1045,1524.4425
1813.5925,1519.902
1833.0723,1515.3927
1852.5598,1510.8835
1872.0474,1506.3743
1891.5271,1501.8649
1911.0146,1497.3557
1930.5022,1492.8465
1949.9897,1488.3372
1969.4695,1483.8279
1988.957,1479.3187
2008.4446,1474.8094
2027.9243,1470.3001
2047.4118,1465.7908
2066.8994,1461.2816
2086.3869,1456.7724
2105.8667,1452.263
2125.3542,1447.7538
2144.8422,1443.2133
2164.3219,1438.7039
2183.8094,1434.1947
2203.297,1429.6854
2222.7845,1425.1762
2242.2643,1420.6668
2261.7518,1416.1576
2281.2393,1411.6483
2300.7191,1407.1389
2320.2066,1402.6297
2339.6942,1398.1204
2359.1739,1393.6111
2378.6614,1389.1018
2398.149,1384.5925
2417.6365,1380.0833
2437.1162,1375.5739
2456.6042,1371.0334
2476.0918,1366.5241
2495.5715,1362.0147
2515.059,1357.5055
2534.5466,1352.9962
2554.0341,1348.4869
2573.5138,1343.9775
2593.0014,1339.4683
2612.4889,1334.959
2631.9686,1330.4496
2644.999,1327.2877
2664.4865,1322.7784
2683.9814,1318.3005
2703.4685,1313.8224
2722.9638,1309.3132
2742.4509,1304.8352
2758.0424,1301.2403
2773.6338,1297.6454
2789.2252,1294.0505
2804.824,1290.4869
2824.3115,1285.9776
2843.8064,1281.4997
2860.363,1273.699
2865.08,1262.701
2853.9329,1242.9487
2842.7858,1223.1964
2831.6226,1203.4752
2818.4245,1182.8816
2805.141,1161.693
2791.8653,1140.5045
2778.5817,1119.3159
2765.306,1098.1275
2752.022,1076.9701
2738.7463,1055.7816
2725.4628,1034.5931
2712.1871,1013.4046
2698.9035,992.216
2685.6274,971.0588
2672.3439,949.8702
2659.0681,928.6817
2645.7846,907.4932
2632.5089,886.3047
2619.2328,865.1475
2605.9493,843.9589
2592.6736,822.7704
2579.39,801.5819
2566.1143,780.3934
2552.8304,759.2361
2539.5547,738.0476
2526.2712,716.8591
2512.9955,695.6706
2499.712,674.4821
2486.4363,653.2936
2473.1524,632.1363
2459.8767,610.9479
2446.5932,589.7593
2433.3175,568.5709
2420.034,547.3823
2406.7579,526.2251
2393.4744,505.0366
2380.1987,483.8481
2366.9153,462.6596
2353.6396,441.4711
2340.3557,420.3139
2327.08,399.1254
2313.7965,377.9369
2300.5208,356.7485
2287.2374,335.5599
2273.9613,314.4027
2260.6778,293.2142
2247.4021,272.0258
2234.1187,250.8372
2220.843,229.6488
2207.5591,208.4915
2194.2834,187.3031
2181.0,166.1146
2167.7243,144.9262
2154.4409,123.7377
2141.1648,102.5805
2127.8813,81.392
2114.6057,60.2036
2101.3222,39.0151
2088.0466,17.8267
2074.7627,-3.3306
2061.4871,-24.519
2048.2114,-45.7074
2034.928,-66.8959
2021.6524,-88.0843
2008.3685,-109.2416
1995.0929,-130.43
1981.8094,-151.6185
1968.5338,-172.8069
1955.2504,-193.9954
1941.9743,-215.1525
1928.6909,-236.341
1915.4152,-257.5294
1902.1318,-278.7179
1888.8562,-299.9063
1875.5728,-321.0948
1862.2967,-342.2519
1849.0133,-363.4404
1835.7377,-384.6288
1822.4543,-405.8173
1809.1787,-427.0056
1795.8948,-448.1629
1782.6192,-469.3512
1769.3358,-490.5397
1756.0602,-511.7281
1742.7768,-532.9166
1729.3219,-553.5761
1715.8414,-574.6423
1702.3605,-595.6773
1688.8801,-616.7435
1675.3996,-637.8097
1661.9188,-658.8447
1648.4383,-679.9109
1634.9579,-700.9771
1621.477,-722.0121
1607.9966,-743.0783
1594.5161,-764.1445
1581.0431,-785.1793
1564.2669,-811.386
1581.0932,-822.277
1597.9196,-833.168
1614.7533,-844.0276
1631.5796,-854.9186
1648.4137,-865.8095
1665.2396,-876.6692
1682.0737,-887.5601
1698.9,-898.4511
1715.7259,-909.3108
1732.56,-920.2017
1749.3859,-931.0614
1766.22,-941.9523
1783.0463,-952.8433
1799.8722,-963.7031
1816.7063,-974.594
1833.5326,-985.485
1850.3663,-996.3446
1867.1926,-1007.2356
1884.0267,-1018.1265
1900.8526,-1028.9862
1918.8144,-1002.0754
1932.6811,-981.2539
1946.5561,-960.4635
1960.4233,-939.6732
1974.2979,-918.8515
1988.165,-898.0612
2002.04,-877.2708
2015.9068,-856.4492
2029.7818,-835.6588
2043.649,-814.8685
2057.524,-794.0781
2071.3908,-773.2565
2085.258,-752.4662
2099.1586,-732.3942
2112.8444,-711.4815
2126.5302,-690.5687
2140.2155,-669.6246
2153.9013,-648.7118
2167.5871,-627.799
2181.2803,-606.8549
2194.9661,-585.9421
2208.6519,-565.0292
2222.3376,-544.1164
2236.023,-523.1724
2249.7088,-502.2596
2263.3946,-481.3468
2277.08,-460.4027
2290.7658,-439.4899
2304.4516,-418.5771
2318.1374,-397.6643
2331.8227,-376.7202
2345.5085,-355.8074
2359.1943,-334.8946
2372.8797,-313.9505
2386.5733,-293.0376
2400.2592,-272.1247
2413.945,-251.2119
2427.6304,-230.2678
2441.3162,-209.355
2455.002,-188.4422
2468.6874,-167.4981
2482.3732,-146.5853
2496.059,-125.6724
2509.7449,-104.7596
2523.4302,-83.8155
2537.1161,-62.9027
2550.8019,-41.9898
2564.4873,-21.0457
2578.1731,-0.13291
2591.8668,20.78
2605.5526,41.6929
2619.238,62.637
2632.9239,83.5498
2646.6097,104.4627
2660.2951,125.4068
2673.981,146.3196
2687.6668,167.2325
2701.3527,188.1453
2715.0381,209.0894
2728.7239,230.0023
2742.4098,250.9152
2756.0952,271.8593
2769.7811,292.7721
2783.4748,313.6851
2797.1602,334.6292
2810.846,355.5421
2824.5319,376.4549
2838.2178,397.3678
2851.9032,418.3119
2865.5891,439.2248
2879.275,460.1377
2892.9604,481.0818
2906.6463,501.9947
2920.3321,522.9075
2934.018,543.8204
2947.7035,564.7646
2961.3894,585.6774
2975.0752,606.5903
2988.7685,627.5346
3002.4544,648.4474
3016.1403,669.3603
3029.8262,690.2732
3043.5116,711.2173
3057.1975,732.1302
3070.8834,753.0431
3084.5689,773.9873
3098.2548,794.9002
3111.9407,815.8131
3125.6266,836.726
3139.312,857.6701
3152.998,878.583
3166.6839,899.4959
3180.3693,920.4401
3194.0631,941.3531
3207.749,962.266
3234.0827,990.0442
3279.6471,1018.2788
3329.3766,1023.0062
3379.0648,1019.513
3425.9906,1002.9171
3468.9249,977.2953
3510.327,949.4956
3548.1077,916.9258
3591.7285,892.5013
3635.2277,867.825
3678.0852,842.1084
3719.4594,814.0582
3762.5538,788.7199
3807.1114,766.0275
3851.783,743.5554
3895.9752,720.1702
3939.1516,695.1143
3980.081,666.464
4025.0767,650.4348
4059.1036,655.5362
4088.0125,695.852
4132.08,714.3455
4177.6336,705.3562
4221.0668,681.4916
4263.3083,655.6725
4311.7165,644.8166
4354.0621,620.4991
4380.5223,582.239
4386.6379,534.3494
4370.0474,487.5801
4386.0789,441.8919
4424.4726,415.2064
4470.1399,395.8423
4515.8598,376.6352
4561.928,358.2143
4608.0484,339.9816
4654.1461,321.6861
4700.2139,303.2964
4746.2822,284.8755
4792.3573,266.5172
4838.4247,248.1587
4884.4925,229.769
4930.5151,211.2536
4976.4241,192.4866
5022.2198,173.4368
5067.8949,154.0727
5113.5015,134.5826
5158.9869,114.8095
5204.4576,94.9737
5250.049,75.4521
5295.4893,55.5534
5341.0433,35.9062
5386.6949,16.5418
5432.2641,-3.0739
5477.6662,-23.0357
5522.9395,-43.2807
5567.3327,-65.4131
5609.8813,-90.8531
5650.4485,-119.3211
5689.6284,-149.715
5727.9257,-181.2464
5765.3541,-213.7901
5800.5268,-248.7406
5833.0002,-286.2292
5862.2354,-326.2634
5888.2114,-368.4684
5910.3727,-412.7894
5930.765,-458.0103
5945.9993,-502.5845
5956.3516,-544.4765
5963.9952,-583.7498
5971.0818,-622.312
6003.3717,-635.4875
6043.0775,-635.8702
6082.8693,-631.7824
6121.892,-628.0179
6161.7667,-629.3046
6193.5625,-645.7062
6211.1859,-680.652
6211.7257,-719.837
6180.3925,-733.1828
6140.6437,-736.9887
6100.6864,-738.7347
6060.7217,-740.5122
6021.5834,-748.3101
5992.0621,-770.5379
5972.5763,-805.2835
5959.7878,-842.3419
5947.2781,-880.3341
5934.4467,-918.237
5921.4504,-956.0797
5908.4771,-993.8909
5895.6301,-1031.794
5882.8534,-1069.6961
5870.2651,-1107.6581
5857.5435,-1145.5907
5844.5468,-1183.4021
5831.8608,-1220.5216
5818.6444,-1258.2736
5803.212,-1295.1189
5787.0653,-1331.7242
5771.885,-1368.7223
5758.8843,-1405.6899
5745.7783,-1443.5028
5731.9569,-1481.0132
5716.7689,-1518.0113
5699.6938,-1554.1607
5680.6863,-1588.4619
5659.6352,-1622.4479
5637.8909,-1656.0372
5615.9647,-1689.4728
5594.1497,-1723.0318
5572.2392,-1756.4672
5549.935,-1789.6893
5527.5914,-1822.8807
5505.4443,-1856.1631
5483.0612,-1889.3237
5460.0387,-1922.0245
5435.255,-1953.3748
5409.4756,-1983.9263
5385.711,-2016.0749
5363.4776,-2049.3272
5342.2221,-2083.2222
5320.1545,-2116.5972
5296.7927,-2149.0527
5271.4795,-2179.9728
5244.3477,-2209.3556
5215.9568,-2237.5371
5188.5455,-2266.4862
5174.3043,-2300.7832
5171.995,-2335.6948
